tracking_id,num_points,bbox_area,point_density,avg_segment_distance,num_stops,street_length_total,intersection_count,street_density_km,edge_density_km,circuity_avg,intersection_density_km,node_density_km,cluster,pca1,pca2
70314,88,0.001219370614957,72109.24199702856,97.70430100125846,88,21887.7910659662,102.0,3819.7222306574618,7632.969935559729,1.0504999571536873,17.80041057376853,26.17707437318902,0,-0.3076959434834961,-0.9660054201590137
70553,157,0.0003716336505907,421325.34125971975,49.52456483808045,157,11992.565045080104,60.0,7166.492025084225,14108.881711278922,1.0944165474113785,35.854674949747704,48.403811182159394,1,2.033613028337821,-1.058169012476347
70558,58,0.0007620674920282,76009.0039294378,99.1713487900381,58,14884.898761922346,78.0,5243.455229004956,10477.511430895522,1.0408747231365905,27.47680816671988,44.737879963761856,1,1.148797707406306,-1.2072106182703197
70567,228,0.0003046015435281,746069.5301724399,26.441249881775832,228,3062.0100753213646,8.0,2732.681074297731,5465.36214859546,1.1927781487933855,7.1395743503840166,10.709361525576025,0,-2.288130635250933,-0.8398706588654978
70669,156,0.0021805066220077,71510.211532809,85.146063504262,156,51203.560490235286,218.0,4223.656669422002,8432.458958133997,1.0906082305704434,17.982287659655782,27.138406605627303,0,-0.28710666547394,-0.042865539009550584
70851,322,0.016071923468739,20033.692105003352,94.3835745522638,322,134057.25705490308,499.0,3750.999105580931,7267.45613542322,1.1355173663568137,13.9623068143063,19.95014981683445,2,-1.0092945688131432,2.1146397173248257
70864,130,0.0053689886705952,24208.617182350485,96.25842537794055,130,82369.01216824184,415.0,6075.148153241715,11873.812035165744,1.068792822993501,30.60843413352697,41.96674463126951,3,1.4411548882410878,0.8495741052565415
70881,213,0.0055760979138615,38191.90612927961,87.43532792721211,213,172471.01606485294,817.0,6141.625504251374,11748.76421149872,1.0589385363810122,29.09305082940198,37.28326097721405,3,1.4141695348125558,3.237582112511273
71092,60,0.0005617446817893,106620.28792386012,89.06265513900583,60,10249.65869567766,47.0,4440.91635326152,8881.832706523046,1.0473793218227512,20.363904282131,33.36214105795929,0,0.23427221379856505,-1.3086853031708516
71224,213,0.0034733351798558,61306.69292789411,74.60405380299817,213,94882.5765227128,499.0,5920.606233892726,11685.659857897916,1.0481077223704918,31.137250051438645,40.93393994738226,3,1.5083594294195006,1.179734514500671
71283,84,0.0003076975063841,272111.04159508646,59.13113675954412,84,992.7178999124015,6.0,733.3885813481269,1466.7771626962542,1.039289691010982,4.432610199208709,5.910146932278279,0,-2.5602595516001343,-1.5740297812959096
71349,158,0.0043192921528543,36571.60081074843,74.3948498836155,158,69609.72057913129,375.0,7774.575363071001,15063.612059396011,1.0695670312082146,41.8830263488469,57.519356185749736,1,2.908458440624629,0.5346328296063846
71385,108,0.0013170064278392,81941.93724612953,74.35068255006776,108,34135.22901791428,156.0,6563.97269233535,13122.814701840422,1.085321458814703,29.997740441903197,47.304129158385805,1,1.650794791314231,-0.5028323064512952
71396,144,0.0041634079199377,34578.74511057837,117.17665317560277,144,146085.3238885116,746.0,6573.982727207103,12703.89823442297,1.060192523104282,33.570731021818766,43.6509505243488,3,1.9031826840886625,2.664429264197701
71426,41,0.0019944379567329,20546.86785006717,191.58831765948625,41,39316.6662664008,191.0,7166.847174102515,14235.414436135026,1.0704412952872593,34.81647708832797,51.76900258159761,1,2.2589982157570154,-0.403215756372468
71528,157,0.0039008338021603,40237.4903598083,83.86462770002088,157,81929.3445478826,426.0,4502.248045988192,8528.350045096322,1.044504147221182,23.40989883630819,30.279000607525383,3,0.33421999746769165,0.7796291793356859
71536,185,0.0041880664015346,44162.584754499,95.82402867764402,185,147799.9914440675,749.0,6341.207898517444,12260.62754153376,1.0595229858818327,32.135081129466506,41.78847666235031,3,1.7141877373243086,2.6960354841842333
71621,135,0.003180543548783,42432.23389214245,193.8714452589139,135,102079.51987661923,523.0,5490.266351137968,10748.665515620422,1.060209466843069,28.12914191912101,37.272457648089606,3,1.063564005894133,1.4069847832950646
71736,142,0.0042152788458782,33678.98689594851,97.0449907972806,142,87674.91765907523,454.0,4812.794877657881,9143.337069717736,1.0479311887548828,24.921710026043097,32.222563403716514,3,0.555685960376101,0.9546697992792852
71774,128,0.0034492767289547,37098.47355889592,79.74460292823545,128,55184.995406348426,288.0,7593.067044838091,14837.693308268135,1.0745842286832492,39.62677341569195,55.17477826282108,1,2.662678046630916,0.10774420305434146
71940,207,0.0066049900353148,31335.19713069545,103.74764672930571,207,205414.66437373735,989.0,6863.478716421069,13219.524499151788,1.0599970031585229,33.04525736385689,41.83282327558021,3,2.0114343086392084,4.199317984635421
71986,200,0.0002999824346815,664490.6046147748,28.36752289400628,200,3062.0100753213646,8.0,2781.4839349598133,5562.967869919626,1.1927781487933855,7.267079771885834,10.90061965782875,0,-2.25805327343283,-0.8395034116710173
72170,173,0.0014641064251728,118080.15924822116,90.16637064017915,173,55379.96357471159,318.0,9025.77281170404,17866.520027066257,1.0393096603121057,51.82733192393279,63.56182217086096,1,4.104125709051467,0.026398458898461628
72210,147,0.0010112400603355,145222.46822683187,61.30964482322752,147,43187.34013228031,209.0,9378.24814873913,17473.0995063407,1.0888728054144643,45.38491736427729,58.84838567329736,1,3.5110314353254113,-0.22162869254216988
72279,115,0.0007733565122943,148510.40596180435,54.07148104716419,115,6792.190780056825,38.0,4371.39419793114,8527.720857471078,1.0219428850615075,24.45646550581631,29.605195085988164,0,0.3450379835019978,-1.5034893931585604
72355,164,0.005595559896209,29303.71568275143,106.19080894678513,164,162035.39751899938,770.0,5813.001268823665,11029.70078018034,1.0525436815059583,27.62366153031093,35.55201113836121,3,1.195454491493861,2.9283113617570358
72407,444,0.0036261476099971,122410.2373932184,46.78438654239845,444,59064.768229104346,291.0,4443.623922116362,8575.988966696112,1.1138968372278522,21.89282376119924,28.814266324877348,3,-0.15580997818325348,0.37470435053888435
72521,78,0.0005513277660168,141220.49406006894,67.48077322403134,78,11237.04955820861,57.0,4874.725258754909,9566.565733855292,1.0549722916998587,24.727072556697497,30.800388623254776,0,0.4371251701055619,-1.2331723530206333
